Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
0,A Hybrid Algorithm for Coalition Structure Generation,University of Southampton,University of Warsaw,University of Southampton,,,,,,,,,,3.0,0.0
1,Structural Patterns Beyond Forks: Extending the Complexity Boundaries of Classical Planning,Saarland University,Inria Nancy - Grand-Est research centre,,,,,,,,,,,2.0,0.0
2,Efficient Approximate Value Iteration for Continuous Gaussian POMDPs,University of Utah,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,,,,,,,,,3.0,0.0
3,Generalized Sampling and Variance in Counterfactual Regret Minimization,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,,,,,,,,5.0,0.0
4,Computing Optimal Strategies to Commit to in Stochastic Games,Duke University,Georgia Institute of Technology,Duke University,Duke University,Georgia Institute of Technology,,,,,,,,5.0,0.0
5,Simple Robust Grammar Induction with Combinatory Categorial Grammars,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,2.0,0.0
6,Filtering Decomposable Global Cost Functions *,Institut National de la Recherche Agronomique,University of Montpellier,Universitas Maritim Raja Ali Haji,Institut National de la Recherche Agronomique,Autonomous University of Barcelona,Universitas Maritim Raja Ali Haji,Universitas Maritim Raja Ali Haji,Institut National de la Recherche Agronomique,,,,,2.0,0.0
7,Conflict-Based Belief Revision Operators in Possibilistic Logic,Southeast University,Jilin University,Griffith University,,,,,,,,,,3.0,0.0
8,A Tractable First-Order Probabilistic Logic,University of Washington,University of Washington,,,,,,,,,,,2.0,0.0
9,Trap Avoidance in Local Search Using Pseudo-Conflict Learning,Data61,Griffith University,,,,,,,,,,,2.0,0.0
10,Three Controversial Hypotheses Concerning Computation in the Primate Cortex,Google (United States),Google (United States),Google (United States),,,,,,,,,,0.0,3.0
11,Conflict-Based Search For Optimal Multi-Agent Path Finding,ISE Department Ben-Gurion University Israe,ISE Department Ben-Gurion University Israe,ISE Department Ben-Gurion University Israe,University of Denver,,,,,,,,,1.0,0.0
12,An Undergraduate Course in the Intersection of Computer Science and Economics,Duke University,,,,,,,,,,,,1.0,0.0
13,Heuristic Search Comes of Age *,University of Denver,Ben-Gurion University of the Negev,Carnegie Mellon University,University of New Hampshire,,,,,,,,,4.0,0.0
14,Low-Rank Matrix Recovery via Efficient Schatten p-Norm Minimization,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,3.0,0.0
15,Teaching Problem-Solving in Algorithms and AI,St. Lawrence University,,,,,,,,,,,,1.0,0.0
16,Compiling Model-Based Diagnosis to Boolean Satisfaction *,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,4.0,0.0
17,Sembler: Ensembling Crowd Sequential Labeling for Improved Quality,Shanghai Jiao Tong University,IBM Research - Thomas J. Watson Research Center,Shanghai Jiao Tong University,,,,,,,,,,3.0,0.0
18,Negotiation in Exploration-Based Environment,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,3.0,0.0
19,A Robust Bayesian Truth Serum for Small Populations,University of Freiburg,Harvard University,,,,,,,,,,,2.0,0.0
20,Effects of Representation on Solving Complex Spatial-Temporal Problems,"Department of Computer Science and Engineering, University of Minnesot",,,,,,,,,,,,1.0,0.0
21,A Scalable Message-Passing Algorithm for Supply Chain Formation,"IIIA -CSIC Campus de la UAB, E-08193 Bellaterra, Spai","IIIA -CSIC Campus de la UAB, E-08193 Bellaterra, Spai","IIIA -CSIC Campus de la UAB, E-08193 Bellaterra, Spai",University of Verona,,,,,,,,,4.0,0.0
22,Lessons Learned From a Rational Reconstruction of Minstrel,"University of California, Santa Cruz","University of California, Santa Cruz","University of California, Santa Cruz","University of California, Santa Cruz",,,,,,,,,4.0,0.0
23,Computing Game-Theoretic Solutions and Applications to Security *,Duke University,,,,,,,,,,,,1.0,0.0
24,Research Challenges in Combinatorial Search,"University of California, Los Angeles",,,,,,,,,,,,1.0,0.0
25,Weighted Clustering,University of Waterloo,University of Waterloo,Aarhus University,University of Waterloo,,,,,,,,,4.0,0.0
26,Global Climate Model Tracking Using Geospatial Neighborhoods,George Washington University,George Washington University,,,,,,,,,,,2.0,0.0
27,Factored Models for Multiscale Decision-Making in Smart Grid Customers,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
28,Estimation of Suitable Action to Realize Given Novel Effect with Given Tool Using Bayesian Tool Affordances,Institute of Informatics,,,,,,,,,,,,1.0,0.0
29,Ontology-Based Data Access with Dynamic TBoxes in DL-Lite,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,4.0,0.0
30,Security Games for Controlling Contagion,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,3.0,0.0
31,Dynamic Matching via Weighted Myopia with Application to Kidney Exchange,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,3.0,0.0
32,Usage-Centric Benchmarking of RDF Triple Stores,Leipzig University,Leipzig University,Leipzig University,Leipzig University,,,,,,,,,4.0,0.0
33,LRTDP Versus UCT for Online Probabilistic Planning,Seattle University,Seattle University,,,,,,,,,,,2.0,0.0
34,The Automated Vacuum Waste Collection Optimization Problem *,University of Lleida,Research Institute for Artificial Intelligence,,,,,,,,,,,2.0,0.0
35,Pedagogical Explorations in Computational Perception for Performance,Bard College,,,,,,,,,,,,1.0,0.0
36,Non-Model-Based Search Guidance for Set Partitioning Problems,Brown University,Brown University,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,3.0,0.0
37,Sustaining Economic Exploitation of Complex Ecosystems in Computational Models of Coupled Human-Natural Networks," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US"," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US",École Polytechnique," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US",GEOMAR Helmholtz Centre for Ocean Research Kiel," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US",San Francisco State University," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US"," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US",San Francisco State University," Pacific Ecoinformatics and Computational Ecology Lab, 1604 McGee Avenue, Berkeley, California, US",Santa Fe Institute,8.0,0.0
38,Robust Cuts Over Time: Combatting the Spread of Invasive Species with Unreliable Biological Control,Cornell University,,,,,,,,,,,,1.0,0.0
39,Teaching Localization in Probabilistic Robotics,University of Massachusetts Lowell,University of Massachusetts Lowell,University of Massachusetts Lowell,,,,,,,,,,3.0,0.0
40,Finding Optimal Abstract Strategies in Extensive-Form Games,University of Alberta,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,4.0,0.0
41,Evaluating Temporal Plans in Incomplete Domains,Utah State University,Utah State University,,,,,,,,,,,2.0,0.0
42,Dynamic Multiagent Resource Allocation: Integrating Auctions and MDPs for Real-Time Decisions,University of Waterloo,,,,,,,,,,,,1.0,0.0
43,Using Quantitative Information to Improve Analogical Matching Between Sketches,Northwestern University,Northwestern University,,,,,,,,,,,2.0,0.0
44,FLP Semantics Without Circular Justifications for General Logic Programs,Chinese Academy of Sciences,Griffith University,,,,,,,,,,,2.0,0.0
45,Lifted MEU by Weighted Model Counting,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,2.0,0.0
46,Approximating the Sum Operation for Marginal-MAP Inference,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,"University of California, Irvine",,,,,,,,5.0,0.0
47,Pairwise Exemplar Clustering,University of Illinois Urbana-Champaign,"Department of Electrical and Computer Engineering 1 , Department of Statistic",,,,,,,,,,,3.0,0.0
48,Don't Be Strict in Local Search!,UNSW Sydney,University of Vienna,Paris Dauphine University,University of Vienna,Institute of Mathematical Sciences,University of Vienna,,,,,,,6.0,0.0
49,From Streamlined Combinatorial Search to Efficient Constructive Procedures,Cornell University,Cornell University,Cornell University,,,,,,,,,,3.0,0.0
50,Heart Rate Topic Models,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,3.0,0.0
51,A Parameterized Runtime Analysis of Evolutionary Algorithms for the Euclidean Traveling Salesperson Problem,University of Adelaide,University of Adelaide,,,,,,,,,,,2.0,0.0
52,Integrating Learner Help Requests Using a POMDP in an Adaptive Training System,Polytechnic University of Timişoara,University of Central Florida," MESH Solutions, LLC, 12601 Research Parkway, Orlando, FL 3282",,,,,,,,,,1.0,0.0
53,Patrol Strategies to Maximize Pristine Forest Area,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,3.0,0.0
54,HyperPlay: A Solution to General Game Playing with Imperfect Information,UNSW Sydney,UNSW Sydney,UNSW Sydney,,,,,,,,,,3.0,0.0
55,Filtering Algorithms Based on the Word-RAM Model,Université Laval,Université Laval,,,,,,,,,,,2.0,0.0
56,Identifying Bullies with a Computer Game,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,4.0,0.0
57,BabelRelate! A Joint Multilingual Approach to Computing Semantic Relatedness,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,2.0,0.0
58,Exact Lifted Inference with Distinct Soft Evidence on Every Object,SRI International,SRI International,SRI International,,,,,,,,,,3.0,0.0
59,Applying Automated Language,,,,,,,,,,,,,0.0,0.0
60,Symmetric Subgame Perfect Equilibria in Resource Allocation,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,2.0,0.0
61,Automatic Targetless Extrinsic Calibration of a 3D Lidar and Camera by Maximizing Mutual Information,University of Michigan–Ann Arbor,Ford Motor Company (United States),University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,3.0,1.0
62,Model AI Assignments 2012,Michigan Technological University,Ithaca College,,,,,,,,,,,2.0,0.0
63,Coordinated Multi-Robot Exploration Under Communication Constraints Using Decentralized Markov Decision Processes, In sabbatical year at LAAS-CNRS,Université de Caen Normandie,,,,,,,,,,,1.0,0.0
64,Time-Critical Influence Maximization in Social Networks with Time-Delayed Diffusion Process,Microsoft Research Asia (China),University of British Columbia,University of Science and Technology of China,,,,,,,,,,2.0,1.0
65,ET-LDA: Joint Topic Modeling for Aligning Events and Their Twitter Feedback,Arizona State University,Oak Ridge National Laboratory,IBM Research - Thomas J. Watson Research Center,Arizona State University,,,,,,,,,4.0,0.0
66,Investigating Contingency Awareness Using Atari 2600 Games,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,3.0,0.0
67,Adaptive Polling for Information Aggregation,Harvard University,Harvard University,Harvard University,Harvard University,Harvard University,Harvard University,,,,,,,6.0,0.0
68,Combining Probabilistic Planning and Logic Programming on Mobile Robots,Texas Tech University,Texas Tech University,Texas Tech University,,,,,,,,,,3.0,0.0
69,Improving Request Compliance through Robot Affect,"National Academies of Sciences, Engineering, and Medicine",,,,,,,,,,,,1.0,0.0
70,Polynomially Decomposable Global Cost Functions in Weighted Constraint Satisfaction,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,3.0,0.0
71,Optimization and Controlled Systems: A Case Study on Thermal Aware Workload Dispatching,University of Bologna,University of Bologna,University of Bologna,University of Bologna,,,,,,,,,4.0,0.0
72,Ontological Smoothing for Relation Extraction with Minimal Supervision,University of Washington,University of Washington,University of Washington,,,,,,,,,,3.0,0.0
73,A Testbed for Learning by Demonstration from Natural Language and RGB-Depth Video,University of Rochester,University of Rochester,,,,,,,,,,,2.0,0.0
74,Mobile Robot Planning to Seek Help with Spatially-Situated Tasks,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
75,Threats and Trade-Offs in Resource Critical Crowdsourcing Tasks over Networks,Indian Institute of Science Bangalore, Global General Motors R&D -India Science La,IBM (India)," Dept. of Computer Science and Automation, Indian Institute of Scienc",Harvard University,,,,,,,,2.0,1.0
76,A Multi-Agent Control Architecture for a Rescue Robot,UNSW Sydney,,,,,,,,,,,,1.0,0.0
77,Topic Correlation Analysis for Cross-Domain Text Classification,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,3.0,0.0
78,Sentic Activation: A Two-Level Affective Common Sense Reasoning Framework,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,3.0,0.0
79,Clustering Documents Along Multiple Dimensions,IBM Research - Almaden,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,3.0,0.0
80,Visual Saliency Map from Tensor Analysis,Chinese Academy of Sciences,"Omnivision Corporation Sunnyvale California, 95054, US",Chinese Academy of Sciences,,,,,,,,,,2.0,0.0
81,Last-Mile Restoration for Multiple Interdependent Infrastructures,Brown University,University of Melbourne,Los Alamos National Laboratory,,,,,,,,,,3.0,0.0
82,Active Learning from Oracle with Knowledge Blind Spot,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,3.0,0.0
83,Model Learning and Real-Time Tracking Using Multi-Resolution Surfel Maps,University of Bonn,University of Bonn,,,,,,,,,,,2.0,0.0
84,Predicting Disease Transmission from Geo-Tagged Micro-Blog Data,University of Rochester,University of Rochester,University of Rochester,,,,,,,,,,3.0,0.0
85,Learning the Kernel Matrix with Low-Rank Multiplicative Shaping,University of Southern California,University of Southern California,,,,,,,,,,,2.0,0.0
86,Complex Task Learning from Unstructured Demonstrations,University of Massachusetts Amherst,,,,,,,,,,,,1.0,0.0
87,Conservative and Greedy Approaches to Classification-Based Policy Iteration,Team Industrial Services (United States),Team Industrial Services (United States),,,,,,,,,,,0.0,2.0
88,Social Cognition: Memory Decay and Adaptive Information Filtering for Robust Information Maintenance,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
89,CCE: A Coupled Framework of Clustering Ensembles,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,3.0,0.0
90,Agent-Human Coordination with Communication Costs under Uncertainty *,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,"University of Maryland, College Park",,,,,,,,,4.0,0.0
91,Solution Diversity in Planning,Lehigh University,Lehigh University,,,,,,,,,,,2.0,0.0
92,Music-Inspired Texture Representation,Robert Gordon University,Robert Gordon University,Robert Gordon University,,,,,,,,,,3.0,0.0
93,Efficient Online Learning for Large-Scale Sparse Kernel Logistic Regression,Zhejiang University,Michigan State University,Zhejiang University,Zhejiang University,,,,,,,,,4.0,0.0
94,A Dichotomy for 2-Constraint Forbidden CSP Patterns *,Université de Toulouse,Université de Toulouse,,,,,,,,,,,2.0,0.0
95,Combining Hashing and Abstraction in Sparse High Dimensional Feature Spaces,Pennsylvania State University,Washington DC VA Medical Center,Pennsylvania State University,,,,,,,,,,2.0,0.0
96,Learning Games from Videos Guided by Descriptive Complexity,Laboratoire d'Informatique Algorithmique: Fondements et Applications,,,,,,,,,,,,1.0,0.0
97,Catch Me If You Can: Pursuit and Capture in Polygonal Environments with Obstacles *,"University of California, Santa Barbara","University of California, Santa Barbara",,,,,,,,,,,2.0,0.0
98,Occupancy Grid Models for Robot Mapping in Changing Environments,"KUKA Laboratories GmbH D-86165 Augsburg, German",University of Freiburg,University of Freiburg,,,,,,,,,,2.0,1.0
99,Double-Bit Quantization for Hashing,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,2.0,0.0
100,Temporally Expressive Planning Based on Answer Set Programming with Constraints,Texas Tech University,Texas Tech University,,,,,,,,,,,2.0,0.0
101,Semi-Supervised Kernel Matching for Domain Adaptation,Temple University,Temple University,,,,,,,,,,,2.0,0.0
102,Learning Driver's Behavior to Improve the Acceptance of Adaptive Cruise Control,Jerusalem College of Technology,University of Michigan–Ann Arbor," General Motors Advanced Technical Center, Israe",Bar-Ilan University,University of Michigan–Ann Arbor," General Motors Advanced Technical Center, Israe",,,,,,,4.0,0.0
103,Bayesian Unification of Sound Source Localization and Separation with Permutation Resolution,Kyoto University,"‡NTT Communication Science Laboratories, NTT Corporation, Kyoto, 619-0237, Japan",,,,,,,,,,,2.0,2.0
104,Adaptive Step-Size for Online Temporal Difference Learning,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,2.0,0.0
105,Repeated Sequential Auctions with Dynamic Task Clusters,UNSW Sydney,UNSW Sydney,,,,,,,,,,,2.0,0.0
106,Mechanix: A Sketch-Based Tutoring System for Statics Courses *,Computer Science Department,Computer Science Department,Computer Science Department,Computer Science Department,Computer Science Department,Computer Science Department,Texas A&M University,Computer Science Department,,,,,1.0,0.0
107,Supervised Probabilistic Robust Embedding with Sparse Noise,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Carnegie Mellon University,,,,,,,,,,3.0,0.0
108,Prediction and Fault Detection of Environmental Signals with Uncharacterised Faults,University of Oxford,Carnegie Mellon University,"Aquatic Informatics Suite 1100, 570 Granville St Vancouver, V6C 3P1, Canad",University of British Columbia,,,,,,,,,3.0,0.0
109,Abductive Metareasoning for Truth-Seeking Agents,The Ohio State University,,,,,,,,,,,,1.0,0.0
110,The Parameterized Complexity of Abduction *,Charles Darwin University,Vienna University of Technology (Austria) Frances A. Rosamon,Charles Darwin University,University of Technology,,,,,,,,,3.0,0.0
111,MCTS Based on Simple Regret,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,2.0,0.0
112,Learning SVM Classifiers with Indefinite Kernels,Temple University,Temple University,,,,,,,,,,,2.0,0.0
113,A Bucket Elimination Approach for Determining Strong Controllability of Temporal Plans with Uncontrollable Choices,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,3.0,0.0
114,Discriminative Clustering via Generative Feature Mapping,Chinese University of Hong Kong,Shanghai Jiao Tong University,"University of California, Los Angeles",Chinese University of Hong Kong,,,,,,,,,4.0,0.0
115,Sparse Probabilistic Relational Projection,Shanghai Jiao Tong University,Hong Kong University of Science and Technology,,,,,,,,,,,2.0,0.0
116,Real-Time Collaborative Planning with the Crowd,University of Rochester,University of Rochester,University of Rochester,University of Rochester,,,,,,,,,4.0,0.0
117,Mirror Perspective-Taking with a Humanoid Robot,Yale University,Yale University,,,,,,,,,,,2.0,0.0
118,Unsupervised Detection of Music Boundaries by Time Series Structure Features,Research Institute for Artificial Intelligence,Max Planck Institute for Informatics,Max Planck Institute for Informatics,Research Institute for Artificial Intelligence,,,,,,,,,4.0,0.0
119,Enriching Chatter Bots With Semantic Conversation Control,University of New Mexico,,,,,,,,,,,,1.0,0.0
120,Multinomial Relation Prediction in Social Data: A Dimension Reduction Approach,The University of Tokyo,The University of Tokyo,,,,,,,,,,,2.0,0.0
121,Fine-Grained Entity Recognition,University of Washington,University of Washington,,,,,,,,,,,2.0,0.0
122,A Theoretical Framework of the Graph Shift Algorithm,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,2.0,0.0
123,Hierarchical Double Dirichlet Process Mixture of Gaussian Processes,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,3.0,0.0
124,An Efficient Simulation-Based Approach to Ambulance Fleet Allocation and Dynamic Redeployment,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,3.0,0.0
125,Recommending Related Microblogs: A Comparison Between Topic and WordNet Based Approaches,Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology,Victoria University,The University of Tokyo,The University of Tokyo,,,,,,,6.0,0.0
126,Using the Web to Interactively Learn to Find Objects,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,3.0,0.0
127,Large Scale Temporal RDFS Reasoning Using MapReduce,Shanghai Jiao Tong University,Southeast University,Shanghai Jiao Tong University,"311 Yifu Building, 800 Dongchuan Road, Shanghai, China, 20024",,,,,,,,,3.0,0.0
128,An Investigation of Sensitivity on Bagging Predictors: An Empirical Approach,Finance and Economics Institute of Tajikistan,University of Technology Sydney,,,,,,,,,,,2.0,0.0
129,Symmetric Rendezvous in Planar Environments with and without Obstacles,Izmir University,University of Minnesota,"Department of Mathematics, Statistics and Computer Science Macalester College 1600 Grand Avenue Saint Paul, MN 5510",,,,,,,,,,1.0,0.0
130,Cruising with a Battery-Powered Vehicle and Not Getting Stranded,University of Stuttgart,University of Stuttgart,,,,,,,,,,,2.0,0.0
131,Improving Twitter Retrieval by Exploiting Structural Information,National University of Defense Technology,University of Edinburgh,University of Edinburgh,National University of Defense Technology,Yunnan Observatories,,,,,,,,5.0,0.0
132,Acquiring Domain Specific Knowledge and Coreference Cues for Coreference Resolution,University of Utah,,,,,,,,,,,,1.0,0.0
133,Name-Ethnicity Classification and Ethnicity-Sensitive Name Matching,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,2.0,0.0
